"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4,C5,C8","2n","~","Capacitor_THT:C_Rect_L16.5mm_W4.7mm_P15.00mm_MKT","4",""
"C2,C3,C6,C7","100n","~","-- mixed values --","4",""
"IC1,IC2,IC3","TL431AIZT","https://www.st.com/resource/en/datasheet/tl431.pdf","lucia:TL431AIZT","3",""
"J1,J2","Conn_01x03","~","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","2",""
"J3","Conn_01x02","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"R1,R5,R6,R10","160k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","4",""
"R2,R7","500","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","2",""
"R3,R4,R8,R9","20k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","4",""
"R11,R12,R13,R18","470","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","4",""
"R14","4.7k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"R15,R20","7.5k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","2",""
"R16","2.2k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"R17","330","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"R19","150","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"R21","5.6k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"R22","1k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"S1,S3,S5","DIN42802","~","lucia:EMSLIFE EE-B04","3",""
"S2,S4","0.01p","~","lucia:EMSLIFE EE-B04","2",""
"U1","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","lucia:TL074CN","1",""
"U2,U3","INA128","http://www.ti.com/lit/ds/symlink/ina128.pdf","lucia:INA128PA","2",""
